Amount_Spent,Transaction_Type,Date
407.1,Car Wash,2023-04-27
311.78,Apple Watch Accessory,2023-08-21
279.59,Nordstrom Online Order,2023-01-10
81.54,Target Household Items,2023-06-15
283.47,Amazon Kindle eBook Purchase,2023-02-24
33.76,Apple Music Subscription,2023-05-15
401.32,HBO Max Subscription,2023-08-03
368.9,Southwest Airlines Flight to LA,2023-01-27
245.69,Adobe Creative Cloud Subscription,2023-05-12
165.15,Zara Clothing Purchase,2023-05-27
401.17,Uber to Miami,2023-02-02
438.06,HBO Max Subscription,2023-07-03
399.99,IKEA Artificial Plants,2023-05-30
377.57,Walmart Grocery Shopping,2023-06-16
405.61,Booking.com Hotel Reservation,2023-04-13
383.52,Uber Ride to Airport,2023-07-06
371.47,HBO Max Subscription,2023-03-20
127.49,Cable TV Subscription,2023-04-08
409.74,DoorDash Food Delivery,2023-04-10
353.87,Water Utility Bill,2023-04-10
286.67,Airbnb Experience Booking,2023-04-24
330.11,Airbnb Stay in New York,2023-02-02
382.75,Amazon Kindle eBook Purchase,2023-01-12
50.94,Airbnb Stay in New York,2023-03-08
135.76,New York Times Digital Subscription,2023-05-06
348.87,Petco Pet Supplies,2023-03-20
255.33,Patreon Creator Support,2023-07-25
99.91,Best Buy Electronics Purchase,2023-05-05
127.63,Rent Payment,2023-04-26
320.14,Lyft Ride to Downtown,2023-04-05
31.15,Apple Watch Accessory,2023-06-20
215.11,Amazon Kindle eBook Purchase,2023-04-09
152.68,Starbucks Breakfast,2023-05-06
237.36,DoorDash Food Delivery,2023-01-24
464.46,Apple Watch Accessory,2023-05-25
263.49,Airbnb Stay in New York,2023-07-23
411.21,Adobe Creative Cloud Subscription,2023-05-01
111.72,CVS Pharmacy Shopping,2023-08-15
418.22,Gym Membership Monthly Fee,2023-01-02
163.05,Home Internet Bill,2023-04-04
246.05,Home Depot Garden Supplies,2023-07-28
273.1,Nintendo eShop Purchase,2023-02-19
19.49,Electricity Bill Payment,2023-06-18
134.28,Coursera Online Course,2023-07-04
183.09,Uber to Miami,2023-03-18
260.43,Walgreens Pharmacy,2023-07-13
325.36,HBO Max Subscription,2023-04-05
72.46,Disneyland Tickets,2023-07-16
179.54,Airbnb Stay in New York,2023-05-24
355.63,Google Play Store Purchase,2023-01-13
234.98,Walgreens Pharmacy,2023-03-02
167.86,Starbucks Breakfast,2023-03-11
141.15,Coursera Online Course,2023-05-26
249.39,Coursera Online Course,2023-01-15
328.65,Home Depot Garden Supplies,2023-03-22
35.12,Apple Music Subscription,2023-03-30
303.15,Petco Pet Supplies,2023-08-18
72.98,Google Play Store Purchase,2023-02-01
346.75,IKEA Artificial Plants,2023-06-14
42.64,Target Household Items,2023-07-16
365.04,Spotify Premium Subscription,2023-07-28
477.66,Airbnb Experience Booking,2023-07-28
227.82,IKEA Kitchen Supplies,2023-01-16
280.14,Lyft Ride Home,2023-06-27
27.19,Nordstrom Online Order,2023-05-02
203.3,Apple Watch Accessory,2023-02-24
147.5,Patreon Creator Support,2023-07-23
144.8,Uber to Miami,2023-03-23
143.69,HBO Max Subscription,2023-02-07
323.6,Booking.com Car Rental,2023-03-19
220.5,Petco Pet Supplies,2023-02-03
475.78,Uber Ride to Airport,2023-03-15
136.97,IKEA Artificial Plants,2023-07-02
367.04,Netflix 1 month subscription,2023-02-26
272.87,Grocery Shopping at Costco,2023-01-30
31.87,Rent Payment,2023-03-24
15.03,Disney+ 1 month subscription,2023-02-05
465.79,Gym Equipment Purchase,2023-02-27
65.31,Cable TV Subscription,2023-04-26
145.48,HBO Max Subscription,2023-07-19
418.44,Booking.com Car Rental,2023-05-09
357.62,New York Times Digital Subscription,2023-05-06
327.19,Airbnb Stay in Miami,2023-06-22
33.6,Walmart Grocery Shopping,2023-04-04
183.27,Disney+ 1 month subscription,2023-08-23
187.52,Paypal Money Transfer,2023-05-03
336.2,Google Play Store Purchase,2023-03-07
211.31,Electricity Bill Payment,2023-01-20
290.55,Target Household Items,2023-04-19
17.77,Walgreens Pharmacy,2023-04-28
177.82,Airbnb Stay in New York,2023-03-10
341.55,Apple Watch Accessory,2023-01-11
44.24,Google Play Store Purchase,2023-03-05
163.57,Apple Music Subscription,2023-06-09
434.0,Uber Ride to Airport,2023-03-19
378.41,Car Insurance Premium,2023-01-21
347.85,Southwest Airlines Upgrade Fee,2023-07-24
236.83,Delta Airlines Flight to Atlanta,2023-01-24
307.37,Airbnb Experience Booking,2023-03-17
245.64,Gym Equipment Purchase,2023-02-07
66.59,Zara Clothing Purchase,2023-04-16
390.6,Airbnb Experience Booking,2023-01-08
215.61,Walgreens Pharmacy,2023-06-13
82.4,Paypal Money Transfer,2023-03-30
46.46,Gym Equipment Purchase,2023-03-01
141.13,Google Play Store Purchase,2023-06-25
175.04,Southwest Airlines Upgrade Fee,2023-04-10
383.22,Walmart Grocery Shopping,2023-06-24
146.39,Disneyland Tickets,2023-03-12
17.0,Starbucks Breakfast,2023-07-27
331.69,Gas Station Fuel,2023-06-02
47.27,Uber Eats Food Delivery,2023-05-20
206.25,Home Internet Bill,2023-03-07
367.65,Rent Payment,2023-02-07
395.15,Amazon Kindle eBook Purchase,2023-08-17
96.26,Sephora Skincare Products,2023-06-04
405.6,Uber to Miami,2023-07-16
27.14,New York Times Digital Subscription,2023-07-31
94.81,Car Insurance Premium,2023-08-17
178.3,Uber Eats Food Delivery,2023-07-03
17.26,Apple Music Subscription,2023-08-18
140.38,Starbucks Breakfast,2023-06-15
93.27,Starbucks Breakfast,2023-01-31
499.59,Target Household Items,2023-03-11
396.41,Netflix 1 month subscription,2023-01-01
487.25,Car Insurance Premium,2023-07-16
386.22,Train Ticket to Boston,2023-03-11
180.76,Paypal Money Transfer,2023-03-12
484.73,Home Internet Bill,2023-01-30
178.68,Airbnb Stay in New York,2023-04-17
434.41,AMC Movie Tickets,2023-03-07
439.15,Airbnb Experience Booking,2023-03-03
267.96,Target Household Items,2023-03-18
273.74,Car Wash,2023-06-05
393.64,Disney+ 1 month subscription,2023-02-17
331.66,AMC Movie Tickets,2023-03-20
48.26,Uber Eats Late Night Order,2023-01-11
132.68,Nordstrom Online Order,2023-05-18
73.88,Apple App Store Purchase,2023-05-27
85.11,Lyft Ride Home,2023-08-07
288.99,Car Insurance Premium,2023-02-01
184.68,Apple Music Subscription,2023-02-11
255.52,Rent Payment,2023-07-03
480.57,Airbnb Stay in New York,2023-03-04
164.49,Electricity Bill Payment,2023-01-02
36.38,Apple Watch Accessory,2023-03-03
359.55,New York Times Digital Subscription,2023-07-26
81.18,DoorDash Food Delivery,2023-08-11
469.65,CVS Pharmacy Shopping,2023-08-11
198.7,Zara Clothing Purchase,2023-06-10
52.58,Booking.com Car Rental,2023-01-25
352.36,Apple Watch Accessory,2023-05-06
404.6,Uber Ride to Airport,2023-04-11
479.39,Amazon Online Shopping,2023-08-18
62.67,Spotify Premium Subscription,2023-05-12
391.76,Petco Pet Supplies,2023-01-30
77.92,Car Insurance Premium,2023-08-13
258.39,Sephora Skincare Products,2023-04-13
265.54,Paypal Money Transfer,2023-01-11
45.06,CVS Pharmacy Shopping,2023-04-06
194.52,Doordash Grocery Delivery,2023-05-24
386.17,Whole Foods Grocery Shopping,2023-05-16
321.82,CVS Pharmacy Shopping,2023-02-08
166.77,Petco Pet Supplies,2023-06-12
402.66,Gas Station Fuel,2023-06-08
99.0,Rent Payment,2023-07-24
398.88,DoorDash Food Delivery,2023-07-14
379.79,Rent Payment,2023-06-15
421.5,Target Household Items,2023-02-21
382.75,Whole Foods Grocery Shopping,2023-03-23
245.27,Doordash Grocery Delivery,2023-08-23
199.71,Sephora Skincare Products,2023-08-14
297.86,Doordash Grocery Delivery,2023-05-12
239.04,IKEA Kitchen Supplies,2023-04-22
220.75,Grocery Shopping at Costco,2023-07-20
198.77,Gym Equipment Purchase,2023-01-29
155.53,Spotify Premium Subscription,2023-07-13
498.42,HBO Max Subscription,2023-02-26
142.86,Airbnb Stay in New York,2023-07-02
497.55,Airbnb Stay in New York,2023-07-25
299.81,IKEA Furniture Purchase,2023-07-11
168.66,Rent Payment,2023-07-08
224.7,Apple Music Subscription,2023-05-01
217.23,Gas Station Fuel,2023-04-25
396.73,Booking.com Hotel Reservation,2023-02-24
281.09,Car Wash,2023-01-17
476.82,Apple Watch Accessory,2023-05-26
183.85,Water Utility Bill,2023-05-17
462.64,Zara Clothing Purchase,2023-03-19
328.32,Google Play Store Purchase,2023-05-11
63.94,Water Utility Bill,2023-02-22
483.48,Water Utility Bill,2023-01-09
192.01,Disney+ 1 month subscription,2023-05-23
228.91,Zara Clothing Purchase,2023-04-26
45.04,Doordash Grocery Delivery,2023-02-17
175.4,Delta Airlines Flight to Atlanta,2023-06-21
300.39,Uber Eats Food Delivery,2023-01-15
194.97,Delta Airlines Flight to Atlanta,2023-04-19
88.99,Apple Music Subscription,2023-01-20
281.07,HBO Max Subscription,2023-07-09
