Amount_Spent,Transaction_Type,Date,Gemini_Category
847.34,Butcher,6/19/2024,Food
728.86,Charity Donation,4/4/2024,Charity
452.56,Home Improvement,7/28/2024,Home
994.25,Bank Fee,9/2/2023,Other
747.7,Bank Fee,2/11/2024,Other
98.57,Parking,11/3/2023,Transportation
671.3,Gas Station,9/5/2023,Transportation
919.43,Vet Visit,1/24/2024,Health
6.1,Uber,4/4/2024,Transportation
144.09,Taxi,11/5/2023,Transportation
311.01,Hair Salon,8/8/2023,Personal Care
398.55,Broker Fee,5/30/2024,other
580.88,Rent,12/14/2023,other
469.15,Streaming Service,2/13/2024,Entertainment
579.8,Broker Fee,7/11/2024,other
874.29,Florist,9/15/2023,Personal Care
599.78,Dentist,12/19/2023,Health
581.93,Software Purchase,9/19/2023,other
530.15,Fast Food,12/11/2023,Food
628.56,Spa,2/21/2024,Personal Care
256.2,Amazon,2/4/2024,Shopping
444.9,Insurance Payment,8/19/2023,other
443.59,Video Game Store,4/18/2024,other
661.77,Software Purchase,12/18/2023,other
825.88,Spotify,8/10/2023,other
19.99,Utility Bill,5/7/2024,other
303.91,Book Store,4/13/2024,Shopping
34.28,Netflix,10/22/2023,Entertainment
128.55,Butcher,3/20/2024,Food
596.6,Spotify,4/4/2024,other
192.59,Childcare Service,10/26/2023,Services
159.51,Concert Ticket,5/30/2024,Entertainment
230.95,Hotel,9/9/2023,other
270.49,Childcare Service,8/21/2023,Services
349.34,Grocery Store,9/19/2023,Food
74.59,Pet Store,6/8/2024,other
362.18,Hardware Purchase,1/30/2024,Shopping
219.0,House Cleaning,3/29/2024,Home
521.98,Streaming Service,1/17/2024,Entertainment
276.79,Online Course,2/5/2024,Entertainment
757.65,Online Course,8/16/2023,Entertainment
252.55,Video Game Store,5/28/2024,other
114.63,Book Store,12/17/2023,Shopping
20.66,Spa,1/1/2024,Personal Care
966.85,Subscription Box,2/13/2024,Entertainment
893.09,Airline Ticket,7/14/2024,Transportation
370.6,Movie Theater,7/19/2024,Entertainment
146.99,Concert Ticket,4/8/2024,Entertainment
796.29,Hotel,3/16/2024,other
970.4,Public Transport,11/1/2023,Transportation
323.05,Clothing Store,5/22/2024,Shopping
98.89,Bank Fee,7/18/2024,Other
941.27,Electronics Store,6/9/2024,Shopping
385.62,Lottery Ticket,2/9/2024,Other
491.52,Amazon,6/20/2024,Shopping
895.6,Restaurant,1/1/2024,Food
243.99,Taxi,10/29/2023,Transportation
405.25,Lottery Ticket,4/24/2024,Other
639.27,Furniture Store,3/2/2024,Shopping
788.78,Gardening Service,8/4/2023,Services
777.22,Hotel,7/27/2024,other
96.59,Fast Food,10/25/2023,Food
547.41,Spotify,5/26/2024,other
371.3,Utility Bill,6/4/2024,other
643.7,Hotel,11/6/2023,other
992.49,Childcare Service,3/28/2024,Services
362.11,Concert Ticket,3/20/2024,Entertainment
356.4,Furniture Store,5/15/2024,Shopping
644.52,Broker Fee,1/6/2024,other
413.95,Florist,11/4/2023,Personal Care
476.39,House Cleaning,6/1/2024,Home
152.5,Pet Store,11/1/2023,other
224.74,Maintenance Fee,5/20/2024,Services
585.95,Airline Ticket,9/9/2023,Transportation
305.73,Spotify,5/28/2024,other
849.23,Home Improvement,2/21/2024,Home
154.12,Subscription Box,2/21/2024,Entertainment
826.4,Rent,7/10/2024,other
651.85,Bank Fee,12/31/2023,Other
490.13,Bakery,11/6/2023,Food
222.73,Childcare Service,5/15/2024,Services
194.46,Restaurant,7/20/2024,Food
957.81,Vet Visit,6/23/2024,Health
221.67,Netflix,1/31/2024,Entertainment
372.51,Airline Ticket,7/26/2024,Transportation
575.23,Parking,5/14/2024,Transportation
896.5,Mortgage,11/12/2023,Investments
73.63,Grocery Store,5/25/2024,Food
329.8,Hair Salon,6/8/2024,Personal Care
728.06,Concert Ticket,11/8/2023,Entertainment
689.23,Furniture Store,7/23/2024,Shopping
370.07,Legal Service,11/23/2023,Services
339.02,Gardening Service,6/27/2024,Services
463.37,Dentist,1/30/2024,Health
526.27,Investment,10/24/2023,Investments
865.38,Vet Visit,12/24/2023,Health
285.51,Uber,3/22/2024,Transportation
750.68,Maintenance Fee,12/23/2023,Services
652.94,Taxi,11/4/2023,Transportation
746.14,Hardware Purchase,7/15/2024,Shopping
356.96,Property Tax,6/16/2024,Home
825.78,Grocery Store,3/25/2024,Food
817.95,Hardware Purchase,7/30/2024,Shopping
962.96,Deli,1/29/2024,other
344.3,Gardening Service,11/15/2023,Services
208.92,Property Tax,3/14/2024,Home
704.16,House Cleaning,2/14/2024,Home
871.58,Accounting Service,3/25/2024,Services
262.61,Utility Bill,10/20/2023,other
478.02,Grocery Store,8/14/2023,Food
