Amount_Spent,Transaction_Type,Date
847.34,Butcher,6/19/2024
728.86,Charity Donation,4/4/2024
452.56,Home Improvement,7/28/2024
994.25,Bank Fee,9/2/2023
747.7,Bank Fee,2/11/2024
98.57,Parking,11/3/2023
671.3,Gas Station,9/5/2023
919.43,Vet Visit,1/24/2024
6.1,Uber,4/4/2024
144.09,Taxi,11/5/2023
311.01,Hair Salon,8/8/2023
398.55,Broker Fee,5/30/2024
580.88,Rent,12/14/2023
469.15,Streaming Service,2/13/2024
579.8,Broker Fee,7/11/2024
874.29,Florist,9/15/2023
599.78,Dentist,12/19/2023
581.93,Software Purchase,9/19/2023
530.15,Fast Food,12/11/2023
628.56,Spa,2/21/2024
256.2,Amazon,2/4/2024
444.9,Insurance Payment,8/19/2023
443.59,Video Game Store,4/18/2024
661.77,Software Purchase,12/18/2023
825.88,Spotify,8/10/2023
19.99,Utility Bill,5/7/2024
303.91,Book Store,4/13/2024
34.28,Netflix,10/22/2023
128.55,Butcher,3/20/2024
596.6,Spotify,4/4/2024
192.59,Childcare Service,10/26/2023
159.51,Concert Ticket,5/30/2024
230.95,Hotel,9/9/2023
270.49,Childcare Service,8/21/2023
349.34,Grocery Store,9/19/2023
74.59,Pet Store,6/8/2024
362.18,Hardware Purchase,1/30/2024
219,House Cleaning,3/29/2024
521.98,Streaming Service,1/17/2024
276.79,Online Course,2/5/2024
757.65,Online Course,8/16/2023
252.55,Video Game Store,5/28/2024
114.63,Book Store,12/17/2023
20.66,Spa,1/1/2024
966.85,Subscription Box,2/13/2024
893.09,Airline Ticket,7/14/2024
370.6,Movie Theater,7/19/2024
146.99,Concert Ticket,4/8/2024
796.29,Hotel,3/16/2024
970.4,Public Transport,11/1/2023
323.05,Clothing Store,5/22/2024
98.89,Bank Fee,7/18/2024
941.27,Electronics Store,6/9/2024
385.62,Lottery Ticket,2/9/2024
491.52,Amazon,6/20/2024
895.6,Restaurant,1/1/2024
243.99,Taxi,10/29/2023
405.25,Lottery Ticket,4/24/2024
639.27,Furniture Store,3/2/2024
788.78,Gardening Service,8/4/2023
777.22,Hotel,7/27/2024
96.59,Fast Food,10/25/2023
547.41,Spotify,5/26/2024
371.3,Utility Bill,6/4/2024
643.7,Hotel,11/6/2023
992.49,Childcare Service,3/28/2024
362.11,Concert Ticket,3/20/2024
356.4,Furniture Store,5/15/2024
644.52,Broker Fee,1/6/2024
413.95,Florist,11/4/2023
476.39,House Cleaning,6/1/2024
152.5,Pet Store,11/1/2023
224.74,Maintenance Fee,5/20/2024
585.95,Airline Ticket,9/9/2023
305.73,Spotify,5/28/2024
849.23,Home Improvement,2/21/2024
154.12,Subscription Box,2/21/2024
826.4,Rent,7/10/2024
651.85,Bank Fee,12/31/2023
490.13,Bakery,11/6/2023
222.73,Childcare Service,5/15/2024
194.46,Restaurant,7/20/2024
957.81,Vet Visit,6/23/2024
221.67,Netflix,1/31/2024
372.51,Airline Ticket,7/26/2024
575.23,Parking,5/14/2024
896.5,Mortgage,11/12/2023
73.63,Grocery Store,5/25/2024
329.8,Hair Salon,6/8/2024
728.06,Concert Ticket,11/8/2023
689.23,Furniture Store,7/23/2024
370.07,Legal Service,11/23/2023
339.02,Gardening Service,6/27/2024
463.37,Dentist,1/30/2024
526.27,Investment,10/24/2023
865.38,Vet Visit,12/24/2023
285.51,Uber,3/22/2024
750.68,Maintenance Fee,12/23/2023
652.94,Taxi,11/4/2023
746.14,Hardware Purchase,7/15/2024
356.96,Property Tax,6/16/2024
825.78,Grocery Store,3/25/2024
817.95,Hardware Purchase,7/30/2024
962.96,Deli,1/29/2024
344.3,Gardening Service,11/15/2023
208.92,Property Tax,3/14/2024
704.16,House Cleaning,2/14/2024
871.58,Accounting Service,3/25/2024
262.61,Utility Bill,10/20/2023
478.02,Grocery Store,8/14/2023
362.49,Electronics Store,2/13/2024
21,Online Course,6/24/2024
87.51,Netflix,4/26/2024
599.75,Book Store,9/5/2023
924.71,Education Fee,12/21/2023
719.1,Online Course,12/4/2023
178.21,Bakery,12/22/2023
598.52,Consulting Fee,12/14/2023
723.53,Maintenance Fee,6/6/2024
472.74,Property Tax,11/9/2023
779.12,Pet Store,12/26/2023
550.38,Property Tax,3/28/2024
492.92,Home Improvement,12/8/2023
987.22,Streaming Service,11/7/2023
326.66,Hair Salon,9/11/2023
565.06,Music Instrument Store,3/21/2024
564.41,Online Course,7/12/2024
728.96,Netflix,2/16/2024
337.33,Mortgage,5/22/2024
971.79,Deli,3/29/2024
305.32,Deli,8/13/2023
871.96,Lottery Ticket,12/17/2023
783.35,Netflix,1/18/2024
556.9,Music Instrument Store,3/2/2024
342.72,Subscription Box,10/23/2023
580.58,Rent,3/25/2024
893.93,Taxi,1/12/2024
296.46,Hardware Purchase,12/7/2023
628.44,Butcher,7/28/2024
915.65,Uber,2/25/2024
121.48,Utility Bill,6/29/2024
848.63,Gift Shop,7/24/2024
971.41,Book Store,6/8/2024
935.43,Dentist,4/16/2024
437.38,Childcare Service,1/13/2024
461.59,Florist,11/21/2023
650.7,Florist,12/14/2023
532.34,Property Tax,6/27/2024
789.88,Investment,6/9/2024
285.03,Movie Theater,4/1/2024
15.68,Insurance Payment,12/16/2023
949.61,Public Transport,11/17/2023
953.98,Grocery Store,10/31/2023
344.18,Parking,12/7/2023
590.2,Spa,10/10/2023
202.96,Uber,8/25/2023
113.51,Florist,7/22/2024
171.69,Bank Fee,4/21/2024
214.68,Gym Membership,5/3/2024
363.53,Home Improvement,9/4/2023
450.56,Music Instrument Store,7/1/2024
173.18,Property Tax,10/27/2023
741.1,Concert Ticket,12/6/2023
902.46,Freelance Payment,3/19/2024
616.66,Butcher,12/10/2023
803.14,Insurance Payment,5/9/2024
441.06,Gas Station,1/28/2024
68.1,Pet Store,8/6/2023
628.07,Grocery Store,4/5/2024
745.88,Deli,7/31/2024
981.77,Business Service,7/24/2024
42.12,Uber,2/12/2024
27,Home Improvement,9/26/2023
323.07,Rent,12/9/2023
584.82,Legal Service,2/15/2024
476.14,Doctor's Visit,9/3/2023
622.5,Online Course,1/1/2024
986.06,Electronics Store,2/3/2024
968.67,Hotel,6/9/2024
8.64,Coffee Shop,8/11/2023
226.92,Dentist,8/13/2023
729.15,Butcher,6/5/2024
545.52,Airline Ticket,1/26/2024
506.94,Uber,7/3/2024
831.78,House Cleaning,5/24/2024
511.84,Childcare Service,12/23/2023
480.31,Public Transport,10/19/2023
802.75,Hotel,12/14/2023
275.4,Childcare Service,1/5/2024
754.2,Streaming Service,5/29/2024
141.18,Accounting Service,8/12/2023
734.24,Lottery Ticket,8/27/2023
252.92,Video Game Store,5/7/2024
248.98,Florist,7/8/2024
102.62,Vet Visit,4/8/2024
722.89,Clothing Store,5/2/2024
129.65,Concert Ticket,5/18/2024
636.91,Amazon,10/18/2023
126.24,Movie Theater,3/3/2024
585.63,Maintenance Fee,12/10/2023
92.53,Utility Bill,5/5/2024
692.27,Dentist,10/12/2023
284.11,Freelance Payment,4/3/2024
819.72,Mortgage,8/20/2023
290.01,Gardening Service,6/2/2024
644.04,Pharmacy,1/31/2024
918.63,Taxi,12/8/2023
660.79,Lottery Ticket,2/18/2024
341.12,Bank Fee,11/30/2023
525.81,Education Fee,7/16/2024
35.47,Car Rental,4/13/2024
352.08,Fast Food,6/19/2024
